country,percentage
Afghanistan,0
Albania,3.3572
Algeria,34.63991667
American Samoa,40.9767
Andorra,38.375
Angola,0
Anguilla,NA
Antigua and Barbuda,NA
Argentina,11.746875
Armenia,22.58527273
Aruba,NA
Australia,92.33333333
Austria,79.05
Azerbaijan,13.14649
Bahamas,NA
Bahrain,64.26902778
Bangladesh,0
Barbados,NA
Belarus,86.44569583
Belgium,60.00445643
Belize,2.2801
Benin,0.0084
Bermuda,0.208333333
Bhutan,0
Bolivia,11.29666667
Bosnia and Herzegovina,3.179546173
Botswana,0.95
Brazil,10.86877778
British Virgin Islands,6.0025
Brunei Darussalam,37.84
Bulgaria,28.86
Burkina Faso,0.025
Burundi,0
Cambodia,0
Cameroon,0
Canada,80.41994883
Cape Verde,19.4
Cayman Islands,NA
Central African Republic,0
Chad,0
Chile,68.84842939
China,18.17991224
Colombia,4.6
Comoros,NA
Congo,0.18
Cook Islands,NA
Costa Rica,0.9
Cote d'Ivoire,0.6
Croatia,13.23291786
Cuba,9.1885
Cyprus,9.440408163
Czech Republic,75.68236485
Dem. Rep. Congo,0
Denmark,93.45
Djibouti,0
Dominica,2.99
Dominican Republic,5.904227642
Ecuador,6.4
Egypt,49.49813896
El Salvador,0.62
Equatorial Guinea,1.25
Eritrea,0
Estonia,75.2707438
Ethiopia,0
Faeroe Islands,NA
Falkland Islands,NA
Fiji,3.9
Finland,84.25
France,83.79913333
French Guiana,17.24995
French Polynesia,NA
Gabon,0
Gambia,0.4
Georgia,0
Germany,95.18054
Ghana,10.2483871
Gibraltar,NA
Greece,87.33333333
Greenland,NA
Grenada,NA
Guadeloupe,15.7605
Guam,NA
Guatemala,5.373
Guinea,0.751111111
Guinea-Bissau,0
Guyana,0
Haiti,0
Holy See,NA
Honduras,15.535
Hong Kong,87.78688
Hungary,58.61916667
Iceland,51.94285714
India,10.48760328
Indonesia,0.0175
Iran,2.774175359
Iraq,8.290661781
Ireland,87.46558333
Isle of Man,NA
Israel,88.40317333
Italy,91.43759552
Jamaica,10
Japan,71.26
Jordan,42.30464831
Kazakhstan,30.5
Kenya,0.519793939
Kiribati,NA
Kuwait,43
Kyrgyzstan,4.2
Laos,0
Latvia,49.625
Lebanon,15.08356164
Lesotho,0.3
Liberia,0
Libya,18.08383234
Liechtenstein,NA
Lithuania,45.82
Luxembourg,95
Macao,NA
Macedonia,3.735277778
Madagascar,0.53125
Malawi,0
Malaysia,8.64
Maldives,4.645176554
Mali,0
Malta,37.01454545
Marshall Islands,0
Martinique,21.436875
Mauritania,0
Mauritius,5.438888889
Mayotte,NA
Mexico,37.4474987
Micronesia,NA
Moldova,34.153
Monaco,100
Mongolia,19.8
Montenegro,5.1
Montserrat,NA
Morocco,39.39325
Mozambique,2.5
Myanmar,0
Namibia,13
Nauru,NA
Nepal,0
Netherlands,98.81818182
Netherlands Antilles,NA
New Caledonia,NA
New Zealand,77.9
Nicaragua,8.4
Niger,0
Nigeria,1.08171624
Niue,NA
Norfolk Island,NA
North Korea,0
Northern Mariana Islands,NA
Norway,77.05334267
Oman,13.4
Pakistan,3.517748412
Palau,40
Panama,20.149375
Papua New Guinea,0
Paraguay,0.155
Peru,20.9755
Philippines,0.53125
Pitcairn,NA
Poland,60.72727273
Portugal,70.33058163
Puerto Rico,57
Qatar,67.31518659
Reunion,12.42825
Romania,13.055
Russia,21.5
Rwanda,0
Saint Helena,NA
Saint Kitts and Nevis,NA
Saint Lucia,NA
Saint Pierre and Miquelon,NA
Saint Vincent and the Grenadines,NA
Samoa,NA
San Marino,NA
Sao Tome and Principe,NA
Saudi Arabia,28.54435925
Senegal,2.0625
Serbia,8.7885
Seychelles,NA
Sierra Leone,0
Singapore,99.65
Slovakia,57.63513333
Slovenia,53.99189621
Solomon Islands,0
Somalia,NA
South Africa,27.85875
South Korea,83.68
Spain,92.8272
Sri Lanka,0
State of Palestine,NA
Sudan,0
Suriname,0.01
Svalbard and Jan Mayen Islands,NA
Swaziland,55.5
Sweden,87.85714286
Switzerland,96.95
Syria,82.17085428
Taiwan,4.59085
Tajikistan,2.25
Tanzania,0.425
Thailand,16
Timor-Leste,0.3
Togo,0
Tokelau,NA
Tonga,NA
Trinidad and Tobago,5.250644898
Tunisia,27.77310217
Turkey,48.93152727
Turkmenistan,9.8
Turks and Caicos Islands,NA
Tuvalu,NA
Uganda,0.56
Ukraine,14.7
United Arab Emirates,67.06395
United Kingdom,97.927095
United States of America,63.665
United States Virgin Islands,NA
Uruguay,6.675
Uzbekistan,0
Vanuatu,NA
Venezuela,14.93829091
Viet Nam,0.1375
Wallis and Futuna Islands,NA
Western Sahara,NA
Yemen,0.48795
Zambia,4.2
Zimbabwe,14.03195876
